Modelo,Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),F1 (macro),Tiempo predicción (s),Velocidad (pred/s)
Random Forest,0.5746216701476677,0.5977674705048144,0.5746216701476677,0.5614552543614465,0.46149428734276965,1.187117576599121,91957.19291153559
XGBoost,0.4998534315342054,0.5751504395821594,0.4998534315342054,0.515504410236632,0.4423732774659436,0.21968507766723633,496911.31122412434
